threshold_frac,precision,recall,TP,FP,FN,detected_count,gt_count
0.0001,0.0411,0.8958,43,1004,5,1047,48
0.026411,0.0617,0.6667,32,487,16,519,48
0.052721,0.0641,0.5208,25,365,23,390,48
0.079032,0.0386,0.2292,11,274,37,285,48
0.105342,0.0227,0.1042,5,215,43,220,48
0.131653,0.017,0.0625,3,173,45,176,48
0.157963,0.0199,0.0625,3,148,45,151,48
0.184274,0.0242,0.0625,3,121,45,124,48
0.210584,0.0104,0.0208,1,95,47,96,48
0.236895,0.0125,0.0208,1,79,47,80,48
0.263205,0.0164,0.0208,1,60,47,61,48
0.289516,0.02,0.0208,1,49,47,50,48
0.315826,0.0238,0.0208,1,41,47,42,48
0.342137,0.0278,0.0208,1,35,47,36,48
0.368447,0.0333,0.0208,1,29,47,30,48
0.394758,0.0385,0.0208,1,25,47,26,48
0.421068,0.0476,0.0208,1,20,47,21,48
0.447379,0.0667,0.0208,1,14,47,15,48
0.473689,0.0833,0.0208,1,11,47,12,48
0.5,0.1,0.0208,1,9,47,10,48
